isgood;title
y;shell may have to write off investment of more than 3bn in major russian gas project after vladimir putin moves to seize control of site 
y;wolf capital management issues open letter on shell plc's offer for shell midstream partners 
y;shell pauses nigeria asset sale pending outcome of court case 
y;shell chief paints bleak picture on global energy supply 
y;shell and bp to deliver even greater profits and shareholder returns for q2 
y;shell set to sign deal with qatar for giant gas project 
n;shell plc (shel) up 2.06% in premarket trading 
n;bp, shell to cover employee travel for treatment after roe v. wade 
y;shell prelude lng loading disrupted for at least 2 weeks, worsening global supply 
n;shell is hiring a tiktok channel manager to reach gen z 
y;shell plans to expand amid energy market chaos 
y;shell, philippine partner to build 1 gw renewable energy capacity
n;prelude potentially facing another shut down â€“ royal dutch shell plc .com 
y;shell plc announcements | shell plc: transaction in own shares
n;total disinterest and incompetence by shell energy â€“ royal dutch shell plc .com 
y;shell may receive two local bids for nigeria oil fields 
n;investegate |shell plc announcements | shell plc: company secretary change 
n;struggling with the sheer level of incompetence of shell energy 
n;should you buy shell plc (shel) in oil & gas integrated industry? 
y;shell launches residential power brand shell energy, enters texas market with 100% renewable electricity plans 
n;shell: a good start in 2022 despite exit from russia (nyse:shel) 
n;is shell plc (shel) stock a smart value wednesday? 
y;shell gets together with uk government to talk up north sea gas
n;shell fancied by credit suisse for energy transition megatrend 
y;shell bids to bring offshore wind power to the polish baltic sea 
n;shell plc 1q22 â‚¬ and âł equivalent dividend payments 
n;challenger energy welcomes entry of shell and apa into uruguay 
y;shell says its nigeria asset sale not affected by court ruling 
n;shell energy broadband bombarded by complaints every day 
n;commodities hit july storm with putin and powell stirring fear 
y;exxon, shell partner with cnooc on china carbon capture project 
y;ceres power and shell form green hydrogen partnership 
y;nigerian senate to probe shell over alleged illegal oil lease renewals 
n;oil conditioning monitoring market report covers future trends with research 2022 to 2029 â€“ parker
n;shell set for september spud for north sea exploration well 
n;planned lng market â€“ increasing demand with industry professionals: shell plc, lng croatia llc, chevron corporation â€“ indian defence news 
n;equinor (eqnr) to divest a 51% stake in north platte project 
n;adding multimedia audubon engineering company awarded major contract for engineering and procurement services of shell's mars corridor assets 
n;shell: a changing of the tides (nyse:shel) 
n;automotive lubricants aftermarket market size, scope and forecast | royal dutch shell plc., exxon mobil corporation, total sa, bp plc., chevron corporation, petrochina company limited, valvoline, basf se, indian oil corporation ltd., fuchs lubricants. â€“ 
n;diesel exhaust fluid market insights 2022 and analysis by top keyplayers â€“ royal dutch shell plc, total sa, china petrochemical corporation (sinopec), basf se â€“ designer women 
n;do analysts agree friday on shell plc (shel) stock's target price? 
n;polymer modified bitumen market recent developments & emerging trends to 2026 | total oil india pvt. ltd., benzene international pte ltd, lagan asphalt group, nynas ab, royal dutch shell plc, exxon mobil â€“ indian defence news 
n;global neopentane market in
y;shell (shel) to go ahead with $2.5b crux project in australia 
n;compressed natural gas market will touch new level in upcoming year by chevron corporation, royal dutch shell plc, jw power company â€“ designer women 
n;future prospects of automotive gear oil market by 2029 | lubrication engineers inc., royal dutch shell plc., fuchs lubricants co. â€“ designer women 
y;royal dutch shell plc changes its name to shell plc 
n;lubricants market size, scope and forecast | lukoil, royal dutch shell plc, bp plc, exxonmobil corporation, total sa, fuchs petolub se, sinopec limited, petrochina company limited, chevron corporation, idemitsu kosan co. ltd. â€“ designer women 
n;news roundup: nigeria ready to fill natural gas gap in europe, four reasons food prices remain high in nigeriaâ€¦ 
n;compressor oil market size, scope and forecast | royal dutch shell plc., exxonmobil corporation, bp plc., chevron corporation, total sa, sinopec limited, lukoil, fuchs petrolub ag, the dow chemical company, croda international plc. â€“ designer wo 
n;linear alpha olefins market size, scope and forecast | royal dutch shell plc, sasol, qatar chemical company ltd (q
n;voting rights and capital 
n;biden to ask gulf alliance to boost oil production 
n;top 10 ethylene industry to look out for in 2022 by saudi basic industries corp, exxon mobil corporation, dow dupont inc., royal dutch shell plc, china petroleum & chemical corporation â€“ designer women 
y;shell says russian oil price cap needs broad participation to work 
y;shell announces intent to withdraw from russian oil and gas 
n;blue hydrogen market is expected to boom |royal dutch shell plc, linde plc, air product plc 
n;bunker fuel market size, scope and forecast | exxonmobil corporation, royal dutch shell plc, gazpromneft marine bunker llc, bp plc, lukoil
n;grease market size, scope and forecast | the dow chemical company, bp plc, royal dutch shell plc, petroliam national berhad (petronas), exxonmobil corporation, sinopec limited, total sa, chevron corporation, fuchs petrolub ag. â€“ designer wo 
n;wax market report 2022 spotlighted dominant players â€“ sinopec international petroleum exploration & production corporation, royal dutch shell plc., exxon mobil corporation 
n;microbial enhanced oil recovery (meor) market size 2022 industry chain and sales channels analysis, recent developments, latest technology | gulf energy llc, bp plc, royal dutch shell plc., glori energy inc., conocophillips, dupont, genome prairie, 
n;global isoprene market drivers, challenges & opportunities 2021
y;shell sets out expected timetable of simplification 
n;synthetic lubricants market size, scope and forecast | exxonmobil corporation, royal dutch shell plc, chevron corporation total sa, total sa, british petroleum plc, fuchs group, sinopec limited, indian oil corporation ltd, demitsu kosan co. ltd, lubrizol 
n;the lithium grease market to reach $3.5 billion by 2027. biofuel
y;simplified share structure 
n;natural gas liquids (ngls) market size, scope and forecast | exxonmobil corp., chesapeake energy corp., bp plc, range resources corp., royal dutch shell plc, sm energy, swift energy company, statoil asa, linn energy llc, chevron corp. â€“ designe 
y;shell signs agreement to sell retail and lubricants businesses in russia 
n;dimethyl ether market size, scope and forecast | air products inc., dme
n;deepwater exploration and production market 2022 by top key company and vendors: exxon mobil corporation, royal dutch shell plc, total sa, chevron corporation, bp plc, etcâ€¦ â€“ indian defence news 
n;state agency wants net zero carbon emissions from australia's biggest lng plant this decade 
n;carbon capture and storage market size, scope and forecast | royal dutch shell plc, halliburton company, schlumberger limited, aker solutions asa, statoil asa, chevron, shell, carbon engineering, nrg energy, bow city power. â€“ designer women 
n;white oil market size, scope and forecast | exxonmobil corporation, sonneborn llc, bp llc, royal dutch shell plc, sinopec petroleum & chemical corporation, renkert oil and petro
n;oil prices are rising, nigeria canâ€™t get it together 
y;shell intends to exit equity partnerships held with gazprom entities 
n;hydraulic fluids market strategic outlook by 2029| shell plc (uk), exxon mobil corporation (us), bp (uk), chevron corporation. (us), total (france), lukoil marine lubricants dmcc (uae) â€“ designer women 
n;shell completes acquisition of landmark fuel and convenience network 
n;aerosol propellant market size, scope and forecast | akzo nobel nv, royal dutch shell plc, boc, honeywell international aveflor as, arkema group, emirates gas llc, aeropres corporation, the chemours company, diversified cpc international. â€“ desi 
n;functional fluids market size, scope and forecast | exxon mobil corporation, royal dutch shell plc, chevron corporation, bp plc, basf se, petronas, idemitsu kosan co. ltd, fuchs petrolub ag, huntsman, and dow chemical company. â€“ designer wo 
n;finished lubricant market outlook 2022 and growth by top keyplayers â€“ royal dutch shell plc, exxonmobil, bp plc, total â€“ designer women 
n;naphthenic base oil market size, scope and forecast | calumet specialty products partners, lp, nynas ab, sac petrobras sa, royal dutch shell plc, petrochina company limited, apar industries ltd., ergon inc., lubricon industries, lubline llc. â€“ designe 
y;shell first quarter 2022 update note 
n;car engine oil market size, scope and forecast | motul, eni gmbh, valvoline, exxonmobil corporation, sinopec petroleum & chemical corp, petroliam nasional berhad (petronas), fuchs petrolub se, castrol, royal dutch shell plc. â€“ designer wo 
n;aromatic solvents market size, scope and forecast | exxon mobil corporation, celanese corporation, royal dutch shell plc, eastman chemical company, basf se, lyondellbasell industries holdings bv, chevron phillips chemical company llc, honeywe 
n;fuel card professional market demand forecast 2022 â€“ 2029 | diesel card ireland (dci), servizio carte carburanti italia (scci), diesel card service (dcs), royal dutch shell plc, wex europe services, bp plc, etc â€“ indian defence news 
n;ethoxylates market size, scope and forecast | basf se, dow chemical company, royal dutch shell plc, stepan company, huntsman, sasol limited, clariant, india glycols limited, solvay, ineos group limited â€“ designer women 
n;antifreeze/coolant market size, scope and forecast | chevron corporation, bp plc, royal dutch shell plc, exxon mobil corporation, total sa, lukoil, basf se, petronas, motul sa, cummins inc. â€“ designer women 
y;shell publishes annual report and accounts 
y;shell moves hq to britain, drops â€śroyal dutchâ€ť from its name 
y;shell signs production sharing contract for atapu field in brazil 
